label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,main_topic
kamargianni (2013),,162,1.383,14,1.383,2013,122,14,7,"=MID(N2,FIND(""Title:"",N2)+15,FIND(""<"",N2,FIND(""Title:"",N2)+15)-FIND(""Title:"",N2)-15)","=MID(N2,FIND(""Source:"",N2)+16,FIND("","",N2,FIND(""Source:"",N2)+15)-FIND(""Source:"",N2)-16)","<table><tr><td>Authors:</td><td>kamargianni, m; polydoropoulou, a</td></tr><tr><td>Title:</td><td>hybrid choice model to investigate effects of teenagers' attitudes toward walking and cycling on mode choice behavior</td></tr><tr><td>Source:</td><td>transportation research record, (2382), 151-161</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3141/2382-17,"{travel, mode, choic}"
wang (2013),,84,0.9878,10,0.9878,2013,61,10,3,"=MID(N3,FIND(""Title:"",N3)+15,FIND(""<"",N3,FIND(""Title:"",N3)+15)-FIND(""Title:"",N3)-15)","=MID(N3,FIND(""Source:"",N3)+16,FIND("","",N3,FIND(""Source:"",N3)+15)-FIND(""Source:"",N3)-16)","<table><tr><td>Authors:</td><td>wang, c; lin, j; cai, wj; zhang, zx</td></tr><tr><td>Title:</td><td>policies and practices of low carbon city development in china</td></tr><tr><td>Source:</td><td>energy & environment, 24(7-8), 1347-1372</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,
shirmohammadi (2013),,182,1.0866,11,1.0866,2013,118,11,1,"=MID(N4,FIND(""Title:"",N4)+15,FIND(""<"",N4,FIND(""Title:"",N4)+15)-FIND(""Title:"",N4)-15)","=MID(N4,FIND(""Source:"",N4)+16,FIND("","",N4,FIND(""Source:"",N4)+15)-FIND(""Source:"",N4)-16)","<table><tr><td>Authors:</td><td>shirmohammadi, n; zangui, m; yin, yf; nie, y</td></tr><tr><td>Title:</td><td>analysis and design of tradable credit schemes under uncertainty</td></tr><tr><td>Source:</td><td>transportation research record, (2333), 27-36</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3141/2333-04,"{price, congest, road}"
jin (2013),,168,0.4939,5,0.4939,2013,145,5,7,"=MID(N5,FIND(""Title:"",N5)+15,FIND(""<"",N5,FIND(""Title:"",N5)+15)-FIND(""Title:"",N5)-15)","=MID(N5,FIND(""Source:"",N5)+16,FIND("","",N5,FIND(""Source:"",N5)+15)-FIND(""Source:"",N5)-16)","<table><tr><td>Authors:</td><td>jin, y; echenique, m; hargreaves, a</td></tr><tr><td>Title:</td><td>a recursive spatial equilibrium model for planning large-scale urban change</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(6), 1027-1050</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b39134,"{model, network, optim}"
schroeder (2013),,80,0.889,9,0.889,2013,54,9,3,"=MID(N6,FIND(""Title:"",N6)+15,FIND(""<"",N6,FIND(""Title:"",N6)+15)-FIND(""Title:"",N6)-15)","=MID(N6,FIND(""Source:"",N6)+16,FIND("","",N6,FIND(""Source:"",N6)+15)-FIND(""Source:"",N6)-16)","<table><tr><td>Authors:</td><td>schroeder, h; burch, s; rayner, s</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship in urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 761-768</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c3105ed,"{develop, sustain, plan}"
burch (2013),,133,0.5927,6,0.5927,2013,81,6,3,"=MID(N7,FIND(""Title:"",N7)+15,FIND(""<"",N7,FIND(""Title:"",N7)+15)-FIND(""Title:"",N7)-15)","=MID(N7,FIND(""Source:"",N7)+16,FIND("","",N7,FIND(""Source:"",N7)+15)-FIND(""Source:"",N7)-16)","<table><tr><td>Authors:</td><td>burch, s; schroeder, h; rayner, s; wilson, j</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship: the role of small businesses in the multilevel governance of climate change</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 822-840</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c1206,"{climat, chang, mitig}"
aylett (2013),,104,1.4817,15,1.4817,2013,72,15,3,"=MID(N8,FIND(""Title:"",N8)+15,FIND(""<"",N8,FIND(""Title:"",N8)+15)-FIND(""Title:"",N8)-15)","=MID(N8,FIND(""Source:"",N8)+16,FIND("","",N8,FIND(""Source:"",N8)+15)-FIND(""Source:"",N8)-16)","<table><tr><td>Authors:</td><td>aylett, a</td></tr><tr><td>Title:</td><td>networked urban climate governance: neighborhood-scale residential solar energy systems and the example of solarize portland</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 858-875</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11304,"{develop, sustain, plan}"
killip (2013),,59,1.0866,11,1.0866,2013,41,11,4,"=MID(N9,FIND(""Title:"",N9)+15,FIND(""<"",N9,FIND(""Title:"",N9)+15)-FIND(""Title:"",N9)-15)","=MID(N9,FIND(""Source:"",N9)+16,FIND("","",N9,FIND(""Source:"",N9)+15)-FIND(""Source:"",N9)-16)","<table><tr><td>Authors:</td><td>killip, g</td></tr><tr><td>Title:</td><td>transition management using a market transformation approach: lessons for theory, research, and practice from the case of low-carbon housing refurbishment in the uk</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 876-892</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11336,"{develop, sustain, plan}"
shey (2013),,163,0.4939,5,0.4939,2013,86,5,3,"=MID(N10,FIND(""Title:"",N10)+15,FIND(""<"",N10,FIND(""Title:"",N10)+15)-FIND(""Title:"",N10)-15)","=MID(N10,FIND(""Source:"",N10)+16,FIND("","",N10,FIND(""Source:"",N10)+15)-FIND(""Source:"",N10)-16)","<table><tr><td>Authors:</td><td>shey, je; belis, d</td></tr><tr><td>Title:</td><td>building a municipal food policy regime in minneapolis: implications for urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 893-910</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11235,"{climat, chang, mitig}"
winters (2013),,202,0.7903,8,0.7903,2013,107,8,5,"=MID(N11,FIND(""Title:"",N11)+15,FIND(""<"",N11,FIND(""Title:"",N11)+15)-FIND(""Title:"",N11)-15)","=MID(N11,FIND(""Source:"",N11)+16,FIND("","",N11,FIND(""Source:"",N11)+15)-FIND(""Source:"",N11)-16)","<table><tr><td>Authors:</td><td>winters, m; brauer, m; setton, em; teschke, k</td></tr><tr><td>Title:</td><td>mapping bikeability: a spatial tool to support sustainable travel</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(5), 865-883</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b38185,"{bicycl, cycl, cyclist}"
