Id,Label,timeset,description,url,cluster,weight<links>,weight<total_link_strength>,weight<citations>,weight<norm._citations>,score<pub._year>,score<citations>,score<norm._citations>
1,echenique (2013),,"<table><tr><td>Authors:</td><td>echenique, m; hargreaves, a; jin, y</td></tr><tr><td>Title:</td><td>a recursive spatial equilibrium model for planning large-scale urban change</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(6), 1027-1050</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b39134,7,141,167,5,0.4246,2013,5,0.4246
8,ban (2013),,"<table><tr><td>Authors:</td><td>ban, xg; ferris, mc; lu, s; tang, ls</td></tr><tr><td>Title:</td><td>risk-neutral second best toll pricing</td></tr><tr><td>Source:</td><td>transportation research part b-methodological, 48, 67-87</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.trb.2012.11.003,2,221,506,12,1.019,2013,12,1.019
10,belis (2013),,"<table><tr><td>Authors:</td><td>belis, d; shey, je</td></tr><tr><td>Title:</td><td>building a municipal food policy regime in minneapolis: implications for urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 893-910</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11235,4,102,189,5,0.4246,2013,5,0.4246
12,clark (2013),,"<table><tr><td>Authors:</td><td>clark, ta</td></tr><tr><td>Title:</td><td>metropolitan density, energy efficiency and carbon emissions: multi-attribute tradeoffs and their policy implications</td></tr><tr><td>Source:</td><td>energy policy, 53, 413-428</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.11.006,3,239,407,7,0.5944,2013,7,0.5944
13,nie (2013),,"<table><tr><td>Authors:</td><td>nie, y; shirmohammadi, n; yin, yf; zangui, m</td></tr><tr><td>Title:</td><td>analysis and design of tradable credit schemes under uncertainty</td></tr><tr><td>Source:</td><td>transportation research record, (2333), 27-36</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3141/2333-04,2,128,199,11,0.9341,2013,11,0.9341
14,killip (2013),,"<table><tr><td>Authors:</td><td>killip, g</td></tr><tr><td>Title:</td><td>transition management using a market transformation approach: lessons for theory, research, and practice from the case of low-carbon housing refurbishment in the uk</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 876-892</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11336,4,43,67,12,1.019,2013,12,1.019
16,futcher (2013),,"<table><tr><td>Authors:</td><td>futcher, ja; mills, g</td></tr><tr><td>Title:</td><td>the role of urban form as an energy management parameter</td></tr><tr><td>Source:</td><td>energy policy, 53, 218-228</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enpol.2012.10.080,1,69,74,11,0.9341,2013,11,0.9341
19,aylett (2013),,"<table><tr><td>Authors:</td><td>aylett, a</td></tr><tr><td>Title:</td><td>networked urban climate governance: neighborhood-scale residential solar energy systems and the example of solarize portland</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 858-875</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11304,4,84,121,17,1.4436,2013,17,1.4436
27,burch (2013),,"<table><tr><td>Authors:</td><td>burch, s; rayner, s; schroeder, h; wilson, j</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship: the role of small businesses in the multilevel governance of climate change</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 822-840</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c1206,4,86,140,7,0.5944,2013,7,0.5944
33,burch (2013),,"<table><tr><td>Authors:</td><td>burch, s; rayner, s; schroeder, h</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship in urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 761-768</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c3105ed,4,58,89,10,0.8492,2013,10,0.8492
41,alvarez (2013),,"<table><tr><td>Authors:</td><td>alvarez, jd; berenguel, m; camponogara, e; normey-rico, j; ortigosa, pm; redondo, jl</td></tr><tr><td>Title:</td><td>optimizing building comfort temperature regulation via model predictive control</td></tr><tr><td>Source:</td><td>energy and buildings, 57, 361-372</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1016/j.enbuild.2012.10.044,1,63,69,32,2.7173,2013,32,2.7173
46,cai (2013),,"<table><tr><td>Authors:</td><td>cai, wj; lin, j; wang, c; zhang, zx</td></tr><tr><td>Title:</td><td>policies and practices of low carbon city development in china</td></tr><tr><td>Source:</td><td>energy & environment, 24(7-8), 1347-1372</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,4,60,83,11,0.9341,2013,11,0.9341
