author,year,source,title,doi,main topics,smaller topics
"Wang, S, Xu, ZB, Zhang, WQ, Fan, ZQ, Feng, SQ, Liu, Y",2017,JOURNAL OF CLEANER PRODUCTION,Effects of aggregate reuse for overpass reconstruction-extension projects on energy conservation and greenhouse gas reduction: A case study from Shanghai City,10.1016/j.jclepro.2016.10.007,"{emiss, carbon, ghg}; {energi, build, consumpt}","{bicycl, cycl, cyclist}; {develop, sustain, plan}"
"Shad, R, Khorrami, M, Ghaemi, M",2017,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,Developing an Iranian green building assessment tool using decision making methods and geographical information system: Case study in Mashhad city,10.1016/j.rser.2016.09.004,"{green, build, roof}; {energi, build, consumpt}; {develop, sustain, plan}; {water, heat, suppli}","{model, network, optim}"
"Robert, M",2017,JOURNAL OF CLEANER PRODUCTION,Engaging private actors in transport planning to achieve future emission targets - upscaling the Climate and Economic Research in Organisations (CERO) process to regional perspectives,10.1016/j.jclepro.2015.05.025,"{develop, sustain, plan}; {travel, mode, choic}; {transport, public, access}","{emiss, carbon, ghg}"
"Benenson, I, Ben-Elia, E, Rofe, Y, Geyzersky, D",2017,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,The benefits of a high-resolution analysis of transit accessibility,10.1080/13658816.2016.1191637,"{transit, rail, station}; {travel, mode, choic}","{bus, servic, oper}"
"Taylor, EJ, van Bemmel-Misrachi, R",2017,LAND USE POLICY,"The elephant in the scheme: Planning for and around car parking in Melbourne, 1929-2016",10.1016/j.landusepol.2016.10.044,"{park, space, price}; {develop, sustain, plan}; {polici, instrument, effect}; {urban, land, citi}",
"West, JH",2017,URBAN GEOGRAPHY,Making market rationality: material semiotics and the case of congestion pricing in New York City,10.1080/02723638.2016.1206711,"{develop, sustain, plan}","{price, congest, road}; {urban, land, citi}"
"Skambraks, AK, Kjerstadius, H, Meier, M, Davidsson, A, Wuttke, M, Giese, T",2017,SUSTAINABLE CITIES AND SOCIETY,Source separation sewage systems as a trend in urban wastewater management: Drivers for the implementation of pilot areas in Northern Europe,10.1016/j.scs.2016.09.013,"{treatment, wastewat, plant}; {develop, sustain, plan}; {wast, manag, solid}; {water, heat, suppli}",
"Cleveland, DA, Phares, N, Nightingale, KD, Weatherby, RL, Radis, W, Ballard, J, Campagna, M, Kurtz, D, Livingston, K, Riechers, G, Wilkins, K",2017,LANDSCAPE AND URBAN PLANNING,The potential for urban household vegetable gardens to reduce greenhouse gas emissions,10.1016/j.landurbplan.2016.07.008,"{climat, chang, mitig}; {treatment, wastewat, plant}; {emiss, carbon, ghg}; {wast, manag, solid}","{recycl, household, collect}"
"Aldossary, NA, Rezgui, Y, Kwan, A",2017,SUSTAINABLE CITIES AND SOCIETY,Establishing domestic low energy consumption reference levels for Saudi Arabia and the Wider Middle Eastern Region,10.1016/j.scs.2016.09.015,"{energi, build, consumpt}; {emiss, carbon, ghg}","{develop, sustain, plan}"
"Holmstedt, L, Brandt, N, Robert, KH",2017,JOURNAL OF CLEANER PRODUCTION,Can Stockholm Royal Seaport be part of the puzzle towards global sustainability? - From local to global sustainability using the same set of criteria,10.1016/j.jclepro.2016.07.019,"{develop, sustain, plan}; {urban, land, citi}",
"Lin, BB, Gaston, KJ, Fuller, RA, Wu, D, Bush, R, Shanahan, DF",2017,LANDSCAPE AND URBAN PLANNING,"How green is your garden?: Urban form and socio-demographic factors influence yard vegetation, visitation, and ecosystem service benefits",10.1016/j.landurbplan.2016.07.007,"{activ, school, health}; {bus, servic, oper}","{urban, land, citi}; {green, build, roof}"
"Bullock, C, Brereton, F, Bailey, S",2017,SUSTAINABLE CITIES AND SOCIETY,The economic contribution of public bike-share to the sustainability and efficient functioning of cities,10.1016/j.scs.2016.08.024,,"{develop, sustain, plan}; {price, congest, road}; {transport, public, access}; {travel, mode, choic}"
"Menezes, E, Maia, AG, de Carvalho, CS",2017,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,Effectiveness of low-carbon development strategies: Evaluation of policy scenarios for the urban transport sector in a Brazilian megacity,10.1016/j.techfore.2016.08.016,"{polici, instrument, effect}; {emiss, carbon, ghg}; {transport, public, access}; {develop, sustain, plan}","{urban, land, citi}"
"Ragush, CM, Poltarowicz, JM, Lywood, J, Gagnon, GA, Hansen, LT, Jamieson, RC",2017,ECOLOGICAL ENGINEERING,Environmental and operational factors affecting carbon removal in model arctic waste stabilization ponds,10.1016/j.ecoleng.2016.10.031,"{treatment, wastewat, plant}; {climat, chang, mitig}; {heat, thermal, comfort}","{emiss, carbon, ghg}"
"Kneifel, J, O'Rear, E",2017,JOURNAL OF BUILDING PERFORMANCE SIMULATION,Reducing the impacts of weather variability on long-term building energy performance by adopting energy-efficient measures and systems: a case study,10.1080/19401493.2016.1256431,"{energi, build, consumpt}; {heat, thermal, comfort}",
"La Rosa, D, Privitera, R, Barbarossa, L, La Greca, P",2017,LANDSCAPE AND URBAN PLANNING,"Assessing spatial benefits of urban regeneration programs in a highly vulnerable urban context: A case study in Catania, Italy",10.1016/j.landurbplan.2016.05.031,"{urban, land, citi}; {green, build, roof}","{develop, sustain, plan}; {activ, school, health}"
