,country__name,location,n,name
0,China,SRID=4326;POINT (116.39723 39.9075),155,Beijing
1,United Kingdom,SRID=4326;POINT (-0.12574 51.50853),135,London
2,United States,SRID=4326;POINT (-74.00597 40.71427),119,New York City
3,Sweden,SRID=4326;POINT (18.0649 59.33258),80,Stockholm
4,China,SRID=4326;POINT (121.45806 31.22222),71,Shanghai
5,Australia,SRID=4326;POINT (144.96332 -37.814),49,Melbourne
6,Australia,SRID=4326;POINT (151.20732 -33.86785),48,Sydney
7,United States,SRID=4326;POINT (-122.67621 45.52345),43,Portland
8,Canada,SRID=4326;POINT (-79.41630000000001 43.70011),43,Toronto
9,Chile,SRID=4326;POINT (-70.64827 -33.45694),41,Santiago
10,United States,SRID=4326;POINT (-118.24368 34.05223),40,Los Angeles
11,Mexico,SRID=4326;POINT (-99.12766000000001 19.42847),40,Mexico City
12,United States,SRID=4326;POINT (-87.65004999999999 41.85003),39,Chicago
13,Spain,SRID=4326;POINT (-3.70256 40.4165),39,Madrid
14,United States,SRID=4326;POINT (-77.03637000000001 38.89511),37,"Washington, D.C."
15,United States,SRID=4326;POINT (-89.38455999999999 42.92611),36,Oregon
16,France,SRID=4326;POINT (2.3488 48.85341),34,Paris
17,India,SRID=4326;POINT (77.23148999999999 28.65195),33,Delhi
18,South Korea,SRID=4326;POINT (126.9784 37.566),32,Seoul
19,Greece,SRID=4326;POINT (23.71622 37.97945),29,Athens
20,Australia,SRID=4326;POINT (153.02809 -27.46794),28,Brisbane
21,United States,SRID=4326;POINT (-122.41942 37.77493),28,San Francisco
22,United States,SRID=4326;POINT (-117.65089 34.06334),28,Ontario
23,Colombia,SRID=4326;POINT (-73.08644 7.06222),28,Floridablanca
24,China,SRID=4326;POINT (114.0683 22.54554),26,Shenzhen
25,United States,SRID=4326;POINT (-122.33207 47.60621),26,Seattle
26,United States,SRID=4326;POINT (-84.38798 33.749),25,Atlanta
27,Spain,SRID=4326;POINT (2.15899 41.38879),24,Barcelona
28,China,SRID=4326;POINT (113.25 23.11667),24,Guangzhou
29,Finland,SRID=4326;POINT (24.93545 60.16952),23,Helsinki
30,New Zealand,SRID=4326;POINT (174.76349 -36.84853),23,Auckland
31,Brazil,SRID=4326;POINT (-49.27306 -25.42778),23,Curitiba
32,United Kingdom,SRID=4326;POINT (-3.19648 55.95206),22,Edinburgh
33,Thailand,SRID=4326;POINT (100.50144 13.75398),21,Bangkok
34,Japan,SRID=4326;POINT (135.75385 35.02107),21,Kyoto
35,Australia,SRID=4326;POINT (115.8614 -31.95224),21,Perth
36,China,SRID=4326;POINT (117.17667 39.14222),20,Tianjin
37,Portugal,SRID=4326;POINT (-9.133330000000001 38.71667),20,Lisbon
38,United States,SRID=4326;POINT (-71.05977 42.35843),20,Boston
39,Ireland,SRID=4326;POINT (-6.24889 53.33306),20,Dublin
40,United States,SRID=4326;POINT (-97.74306 30.26715),20,Austin
41,China,SRID=4326;POINT (106.55278 29.56278),19,Chongqing
42,Canada,SRID=4326;POINT (-123.11934 49.24966),19,Vancouver
43,Japan,SRID=4326;POINT (139.69171 35.6895),19,Tokyo
44,Philippines,SRID=4326;POINT (125.61278 7.07306),18,Davao
