label,timeset,weight<total_link_strength>,weight<norm._citations>,score<citations>,score<norm._citations>,score<pub._year>,weight<links>,weight<citations>,cluster,title,source,description,url,id,main_topic
kamargianni (2013),,162,1.383,14,1.383,2013,122,14,7,hybrid choice model to investigate effects of teenagers' attitudes toward walking and cycling on mode choice behavior,transportation research record,"<table><tr><td>Authors:</td><td>kamargianni, m; polydoropoulou, a</td></tr><tr><td>Title:</td><td>hybrid choice model to investigate effects of teenagers' attitudes toward walking and cycling on mode choice behavior</td></tr><tr><td>Source:</td><td>transportation research record, (2382), 151-161</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3141/2382-17,11,"{travel, mode, choic}"
wang (2013),,84,0.9878,10,0.9878,2013,61,10,3,policies and practices of low carbon city development in china,energy & environment,"<table><tr><td>Authors:</td><td>wang, c; lin, j; cai, wj; zhang, zx</td></tr><tr><td>Title:</td><td>policies and practices of low carbon city development in china</td></tr><tr><td>Source:</td><td>energy & environment, 24(7-8), 1347-1372</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",,17,
shirmohammadi (2013),,182,1.0866,11,1.0866,2013,118,11,1,analysis and design of tradable credit schemes under uncertainty,transportation research record,"<table><tr><td>Authors:</td><td>shirmohammadi, n; zangui, m; yin, yf; nie, y</td></tr><tr><td>Title:</td><td>analysis and design of tradable credit schemes under uncertainty</td></tr><tr><td>Source:</td><td>transportation research record, (2333), 27-36</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.3141/2333-04,23,"{price, congest, road}"
jin (2013),,168,0.4939,5,0.4939,2013,145,5,7,a recursive spatial equilibrium model for planning large-scale urban change,environment and planning b-planning & design,"<table><tr><td>Authors:</td><td>jin, y; echenique, m; hargreaves, a</td></tr><tr><td>Title:</td><td>a recursive spatial equilibrium model for planning large-scale urban change</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(6), 1027-1050</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b39134,28,"{model, network, optim}"
schroeder (2013),,80,0.889,9,0.889,2013,54,9,3,novel multisector networks and entrepreneurship in urban climate governance,environment and planning c-government and policy,"<table><tr><td>Authors:</td><td>schroeder, h; burch, s; rayner, s</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship in urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 761-768</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c3105ed,43,
burch (2013),,133,0.5927,6,0.5927,2013,81,6,3,novel multisector networks and entrepreneurship: the role of small businesses in the multilevel governance of climate change,environment and planning c-government and policy,"<table><tr><td>Authors:</td><td>burch, s; schroeder, h; rayner, s; wilson, j</td></tr><tr><td>Title:</td><td>novel multisector networks and entrepreneurship: the role of small businesses in the multilevel governance of climate change</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 822-840</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c1206,44,
aylett (2013),,104,1.4817,15,1.4817,2013,72,15,3,networked urban climate governance: neighborhood-scale residential solar energy systems and the example of solarize portland,environment and planning c-government and policy,"<table><tr><td>Authors:</td><td>aylett, a</td></tr><tr><td>Title:</td><td>networked urban climate governance: neighborhood-scale residential solar energy systems and the example of solarize portland</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 858-875</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11304,45,
killip (2013),,59,1.0866,11,1.0866,2013,41,11,4,"transition management using a market transformation approach: lessons for theory, research, and practice from the case of low-carbon housing refurbishment in the uk",environment and planning c-government and policy,"<table><tr><td>Authors:</td><td>killip, g</td></tr><tr><td>Title:</td><td>transition management using a market transformation approach: lessons for theory, research, and practice from the case of low-carbon housing refurbishment in the uk</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 876-892</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11336,46,
shey (2013),,163,0.4939,5,0.4939,2013,86,5,3,building a municipal food policy regime in minneapolis: implications for urban climate governance,environment and planning c-government and policy,"<table><tr><td>Authors:</td><td>shey, je; belis, d</td></tr><tr><td>Title:</td><td>building a municipal food policy regime in minneapolis: implications for urban climate governance</td></tr><tr><td>Source:</td><td>environment and planning c-government and policy, 31(5), 893-910</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/c11235,47,
winters (2013),,202,0.7903,8,0.7903,2013,107,8,5,mapping bikeability: a spatial tool to support sustainable travel,environment and planning b-planning & design,"<table><tr><td>Authors:</td><td>winters, m; brauer, m; setton, em; teschke, k</td></tr><tr><td>Title:</td><td>mapping bikeability: a spatial tool to support sustainable travel</td></tr><tr><td>Source:</td><td>environment and planning b-planning & design, 40(5), 865-883</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",http://dx.doi.org/10.1068/b38185,59,"{bicycl, cycl, cyclist}"
