,abstract,doc,number,topic,topic_size
0,"We carried out a life cycle assessment to model the potential for alternative household vegetable gardens (AHHVGs) to mitigate global climate change by reducing greenhouse gas emissions (GHGE) for Santa Barbara County, California, USA. Our model included changes in GHGE due to the effect of creating an AHHVG for five components: reduction of lawn area due to replacement by the AHHVG; reduction of vegetables purchased from the conventional agrifood system due to replacement by vegetables produced in the AHHVG; reduction in amount of greywater exported to treatment facilities due to diversion to irrigate the AHHVG; reduction in amount of household organic waste exported to treatment facilities due to diversion to composting at the household level for application to the AHHVG; and composting organic household waste for use in the AHHVG. We found that AHHVGs could reduce emissions by over 2 kg CO(2)e kg(-1) vegetable, but that results were sensitive to the range of values for the key variables of yield and alternative methods for processing household organic waste. In our baseline scenario (50% of singlefamily households with an 18.7 m(2) AHHVG, providing 50% of their vegetable consumption), AHHVGs contributed 3.3% of the GHGE reduction goals of unincorporated Santa Barbara County for 2020, 0.5% of the goals for the City of Santa Barbara for 2050, and by extrapolation, 7.8% of the goals for California for 2020. Our results could provide an incentive for governments to include support of AHHVG as part of climate mitigation strategies, and for households to grow vegetables in AHHVGs to address climate change. (C) 2016 Elsevier B.V. All rights reserved.",WOS:000390183300034,2020,"{climat, chang, mitig}",176
1,"We carried out a life cycle assessment to model the potential for alternative household vegetable gardens (AHHVGs) to mitigate global climate change by reducing greenhouse gas emissions (GHGE) for Santa Barbara County, California, USA. Our model included changes in GHGE due to the effect of creating an AHHVG for five components: reduction of lawn area due to replacement by the AHHVG; reduction of vegetables purchased from the conventional agrifood system due to replacement by vegetables produced in the AHHVG; reduction in amount of greywater exported to treatment facilities due to diversion to irrigate the AHHVG; reduction in amount of household organic waste exported to treatment facilities due to diversion to composting at the household level for application to the AHHVG; and composting organic household waste for use in the AHHVG. We found that AHHVGs could reduce emissions by over 2 kg CO(2)e kg(-1) vegetable, but that results were sensitive to the range of values for the key variables of yield and alternative methods for processing household organic waste. In our baseline scenario (50% of singlefamily households with an 18.7 m(2) AHHVG, providing 50% of their vegetable consumption), AHHVGs contributed 3.3% of the GHGE reduction goals of unincorporated Santa Barbara County for 2020, 0.5% of the goals for the City of Santa Barbara for 2050, and by extrapolation, 7.8% of the goals for California for 2020. Our results could provide an incentive for governments to include support of AHHVG as part of climate mitigation strategies, and for households to grow vegetables in AHHVGs to address climate change. (C) 2016 Elsevier B.V. All rights reserved.",WOS:000390183300034,2050,"{climat, chang, mitig}",176
2,"We carried out a life cycle assessment to model the potential for alternative household vegetable gardens (AHHVGs) to mitigate global climate change by reducing greenhouse gas emissions (GHGE) for Santa Barbara County, California, USA. Our model included changes in GHGE due to the effect of creating an AHHVG for five components: reduction of lawn area due to replacement by the AHHVG; reduction of vegetables purchased from the conventional agrifood system due to replacement by vegetables produced in the AHHVG; reduction in amount of greywater exported to treatment facilities due to diversion to irrigate the AHHVG; reduction in amount of household organic waste exported to treatment facilities due to diversion to composting at the household level for application to the AHHVG; and composting organic household waste for use in the AHHVG. We found that AHHVGs could reduce emissions by over 2 kg CO(2)e kg(-1) vegetable, but that results were sensitive to the range of values for the key variables of yield and alternative methods for processing household organic waste. In our baseline scenario (50% of singlefamily households with an 18.7 m(2) AHHVG, providing 50% of their vegetable consumption), AHHVGs contributed 3.3% of the GHGE reduction goals of unincorporated Santa Barbara County for 2020, 0.5% of the goals for the City of Santa Barbara for 2050, and by extrapolation, 7.8% of the goals for California for 2020. Our results could provide an incentive for governments to include support of AHHVG as part of climate mitigation strategies, and for households to grow vegetables in AHHVGs to address climate change. (C) 2016 Elsevier B.V. All rights reserved.",WOS:000390183300034,2020,"{climat, chang, mitig}",176
3,"To identify and evaluate sustainable strategies of taxi fleet in Beijing in terms of economic, policy, and environmental implications, a hybrid approach was developed through incorporating multi-criteria decision analysis (MCDA) methods within a general life-cycle analysis (LCA) framework. The approach can (a) help comprehensive evaluate environmental impacts of multiple types of vehicles, (b) facilitate analysis of environmental, economic and policy features of such vehicles, and (c) identify desirable taxi fleet development strategies for the city. The developed approach represented an improvement of the decision-making capability for taxi implementation based on multiple available technologies and their performance that can be specifically tailored to Beijing. The results demonstrated that the proposed approach could comprehensively reflect multiple implications of strategies for the taxi fleet in Beijing to reduce air pollution in the city. The results also indicated that the electric vehicle powered with the year 2020 electricity projections would be the ideal solution, outranking the other alternatives. The conventional vehicle ranked the lowest among the alternatives. The plug-in hybrid vehicle powered by 2020 electricity projects ranked the third, followed by the plug-in hybrid vehicle ranking the fourth, and the hybrid vehicle ranking the fifth. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000391903900031,2020,"{vehicl, electr, charg}",269
4,"In many nations industrial scale AD of non-agricultural waste materials (such as MSW) has not yet reached its full potential, often constrained by the lack of secure, inexpensive, high quality AD feedstocks, and markets for the resulting digestate material. We tested the output material of a high throughput novel industrial process to define its potential as an AD feedstock (based on quality and consistency). This process, designed to circumvent the constraints of source segregation while still generating segregated waste streams, resulted in the production of a temporally homogenous fibrous material with: an average moisture content of 44.2 (+/- 2.33)%; C:N ratio of 32.9:1 (+/- 3.46:1), C:P ratio of similar to 228:1 and gross calorific value of 17.4 (+/- 0.29) MJ/kg((Dm)). This material provided a CH4 yield of between 201 and 297 m(3) CH4/tonneo((DM)) (271-401 m(3) CH4/tonne((Vs))) comparable to commonly used AD feedstocks. Material contaminant levels were temporally consistent (P > 0.05), (average values being Cd 0.63 (+/- 0.19), Cu 56.3 (+/- 7.45), Cr-tot 51.4 (+/- 4.41), Hg < 0.3, Ni 28.9 (+/- 5.17), Pb 79.2 (+/- 23.71), Zn 202 (+/- 44.5), total polyaromatic hydrocarbons (PAH) 2.2 (+/- 0.3), and total polychlorinated biphenyls (PCB) (<0.2) mg/kg((DM))). Calculated digestate contaminant levels were below the median contaminant threshold limits for anaerobic digestates of all countries within the European Union i.e. of Cd 3.35, Cu 535, Cr-tot 535, Hg 8.15, Ni 185, Pb 397.5, Zn 2100 mg/kg((DM)). We suggest that novel high throughput processes that produce high quality AD feedstocks, may have a place in further diversion of waste from landfill. (C) 2016 Published by Elsevier Ltd.",WOS:000390503000016,2100,"{treatment, wastewat, plant}",270
5,"China has been the world's largest cement producer and the cement production has led to increased energy consumption and CO2 emissions, which greatly affect the country's social and economic development. In this paper, an integrated assessment framework was developed by combining the Stock-based model and the Integrated MARKAL-EFOM System model of China (China TIMES), and it was used in China's cement sector to simulate the trends of energy consumption and CO2 emissions during 2010-2050, under a reference scenario and three carbon tax scenarios. The modeling results show that: (1) the cement production in China will increase from 1.8 billion tons in 2010, to a peak of 2.5 billion tons in around 2017, and then gradually decrease to 1.5 billion tons in 2050; (2) Through the adoption of three alternative abatement measures (i.e., switching the fuel types, implementing the energy-efficient measures and CCS), China's cement sector could potentially achieve a great reduction in CO2 emissions; (3) In the near future, the cement sector's decarbonisation will mainly rely on energy efficiency improvement; while the use of alternative fuel use and CCS will be of great significance from a long-term perspective. Additionally, based on the modeling results, we build the energy-saving and emission-reduction technologies roadmap for China's cement sector. (C) 2016 Elsevier Ltd. All rights reserved.",WOS:000390494800085,2050,"{emiss, carbon, ghg}",383
6,"In November 2015, China government announced that the national carbon emissions trading market is expected to start in 2017. Carbon emission trading system is a raising concern from day to day, in which the allocation of carbon quotas has the closest relationship with trading units directly determining the cost of carbon trading. Initial allowance allocation is fundamental, but it proposes difficulty in terms of the trading mechanism design. This paper is based on the total control principle of national layout, in which the government sets up the cap of emissions in the carbon emissions trading system and focuses on the historical emission allocation concept from the perspective of fairness and history responsibility meaning that the allocation of quota in the future is based on the historical emissions. Firstly, we carry out comparative analysis based on the economy development and the emissions of 31 provinces and cities in China and select the sign-post province, Hebei. Secondly, we take the sign-post province as benchmarking and compare the benchmarking with the other provinces on the economy to set three quota situations of different initial years. Finally, we conduct quota calculation of residual carbon dioxide of various provinces by the end of 2020 and provide the specific quota calculation plans under different situations. The result of quota indicates: Most provinces still have more or less surplus to reallocate by the end of 2020; some provinces and cities have developing economy at expense of large emission and old industrial area with high energy consumption and high coal demand are in the shortage of future emission space; for the developed areas, the earlier emissions accounting is not good for their owning surplus; the earlier the years we select as the starting to account the quota, the greater the reductions space we will have. Meanwhile, we carry out testing of the feasibility of self-providing quota plans. These results may provide corresponding policy advice for China.",WOS:000391611900028,2020,"{emiss, carbon, ghg}",383
7,"BACKGROUND: By 2050, nearly 70% of the global population is projected to live in urban areas. Because the environments we inhabit affect our health, urban and transport designs that promote healthy living are needed. OBJECTIVE: We estimated the number of premature deaths preventable under compliance with international exposure recommendations for physical activity (PA), air pollution, noise, heat, and access to green spaces. METHODS: We developed and applied the Urban and TranspOrt Planning Health Impact Assessment (UTOPHIA) tool to Barcelona, Spain. Exposure estimates and mortality data were available for 1,357,361 residents. We compared recommended with current exposure levels. We quantified the associations between exposures and mortality and calculated population attributable fractions to estimate the number of premature deaths preventable. We also modeled life-expectancy and economic impacts. RESULTS: We estimated that annually, nearly 20% of mortality could be prevented if international recommendations for performance of PA; exposure to air pollution, noise, and heat; and access to green space were followed. Estimations showed that the greatest portion of preventable deaths was attributable to increases in PA, followed by reductions of exposure to air pollution, traffic noise, and heat. Access to green spaces had smaller effects on mortality. Compliance was estimated to increase the average life expectancy by 360 (95% CI: 219, 493) days and result in economic savings of 9.3 (95% CI: 4.9, 13.2) billion EUR/ year. CONCLUSIONS: PA factors and environmental exposures can be modified by changes in urban and transport planning. We emphasize the need for a) the reduction of motorized traffic through the promotion of active and public transport and b) the provision of green infrastructure, both of which are suggested to provide opportunities for PA and for mitigation of air pollution, noise, and heat.",WOS:000392195000012,2050,"{air, pollut, qualiti}",229
8,"Indonesia has a regulation UU No. 18/2008 which changes the paradigm from waste dumping to recycling. The purpose of this study is to understand the achievement and obstacles of community-based waste recycling through the solid waste bank (SW bank) program and its potency to improve the local MSW management in Indonesia. SW bank program is a unique organization developed among Indonesian communities to facilitate citizen participation in solid waste recycling. The banking system is adopted, and the community deposits the wastes instead of money. Case study was done for Padang city. The existing condition in 2013 suggests that the amount of solid waste recycled by SW bank activity was only 0.05 % of the total MSW generation. This condition results in 35 % waste without proper treatment. To improve the existing condition, development scenario is planned for 15 years. This development scenario may result in the increase of recycling amount of SW bank activity to 6 % of the total MSW generation in 2028. SWOT analysis suggests that some strategies such as creating a local regulation may be adopted to utilize the potency of SW bank for local MSW management improvement.",WOS:000392385300021,2028,"{wast, manag, solid}",517
9,"Energy conservation and CO2 abatement is currently an important development strategy for China. It is significant to analyze how to reduce energy consumption and CO2 emissions in China's energy-intensive machinery industry. We not only employ a cointegration method and scenario analysis to predict the future energy demand and CO2 emissions in China's machinery industry, but we also use the Monte Carlo simulation to test the validity of the predictions. The results show that energy demand in the industry will respectively reach 678.759 Mtce (million ton coal equivalent) in 2020 and 865.494 Mtce in 2025 under the baseline scenario. Compared with the baseline scenario, the energy savings in 2020 will respectively be 63.654 Mtce and 120.787 Mtce in the medium and advanced scenarios. Furthermore, we forecast the corresponding CO2 emissions as well as the reduction potential respectively in 2020 and 2025. In order to achieve energy conservation and emissions reduction, the government should increase energy price, levy environmental taxes based on the emissions level of machinery enterprises, promote mergers and acquisitions of enterprises, and expand the scale of enterprises. This paper provides a reference for energy conservation and CO2 abatement policy in China's machinery industry.",WOS:000394842700086,2020,"{emiss, carbon, ghg}",383
