,topic,number_median,number_mean,number_std dev,number_count,topic_size
0,"{model, network, optim}",2020.0,2019.6666666666667,0.5773502691896093,3.0,435
1,"{vehicl, electr, charg}",2020.0,2025.9615384615386,9.763117408822964,26.0,269
2,"{energi, build, consumpt}",2020.5,2028.0,11.114952481891164,84.0,779
3,"{bus, servic, oper}",2021.0,2021.0,,1.0,249
4,"{transport, public, access}",2024.5,2031.3125,13.001121746475022,16.0,295
5,"{transit, rail, station}",2025.0,2025.0,7.0710678118654755,2.0,254
6,"{price, congest, road}",2025.0,2025.0,7.0710678118654755,2.0,342
7,"{wast, manag, solid}",2025.0,2029.0,12.456591294036519,13.0,517
8,"{treatment, wastewat, plant}",2026.0,2037.8333333333333,30.629506471157235,6.0,270
9,"{heat, thermal, comfort}",2027.5,2033.9,17.38102413553356,10.0,471
10,"{water, heat, suppli}",2028.5,2031.9166666666667,10.689487897703616,12.0,145
11,"{emiss, carbon, ghg}",2030.0,2032.888888888889,15.888238954385379,108.0,383
12,"{park, space, price}",2030.0,2030.0,,1.0,236
13,"{polici, instrument, effect}",2030.0,2030.0,12.247448713915873,5.0,129
14,"{develop, sustain, plan}",2030.0,2034.5,13.209844813622894,18.0,898
15,"{recycl, household, collect}",2030.0,2034.0,15.165750888103101,5.0,205
16,"{climat, chang, mitig}",2030.0,2043.0,24.29775611822939,22.0,176
17,"{travel, mode, choic}",2030.0,2030.5,8.185352771872473,4.0,332
18,"{bicycl, cycl, cyclist}",2030.0,2030.0,,1.0,153
19,"{air, pollut, qualiti}",2030.0,2031.6,12.249263016379535,10.0,229
20,"{brt, bus, system}",2040.0,2040.0,8.164965809277238,4.0,77
21,"{urban, land, citi}",2040.0,2038.9285714285713,11.124915112653056,14.0,321
22,"{activ, school, health}",2040.0,2040.0,14.142135623730951,2.0,414
23,"{green, build, roof}",2050.0,2040.2,13.971399357258404,5.0,165
24,"{toll, lane, link}",,,,,190
