,abstract,doc,number,topic,topic_size
0,"With increased global concerns on climate change, the need for innovative spaces which can provide thermal comfort and energy efficiency is also increasing. This paper analyses the effects of transitional spaces on energy performance and indoor thermal comfort of low-rise dwellings in the Netherlands, at present and projected in 2050. For this analysis the four climate scenarios for 2050 from the Royal Dutch Meteorological Institute (KNMI) were used. Including a courtyard within a Dutch terraced dwelling on the one hand showed an increase in annual heating energy demand but on the other hand a decrease in the number of summer discomfort hours. An atrium integrated into a Dutch terraced dwelling reduced the heating demand but increased the number of discomfort hours in summer. Analysing the monthly energy performance, comfort hours and the climate scenarios indicated that using an open courtyard May through October and an atrium, i.e. a covered courtyard, in the rest of the year establishes an optimum balance between energy use and summer comfort for the severest climate scenario. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000330488100055,2050,Thermal comfort,
1,"Developing Nearly Zero Energy Buildings (NyZEB) represents a path toward sustainable communities and is required by international regulations, starting with 2018. Combined measures for reducing the energy demand and increasing the share of renewable energy systems in buildings are very much investigated for different types of buildings. One specific case is represented by the buildings where - as result of the green energy policies - renewables are already installed, but the NyZEB status is not reached yet. These buildings are main candidates in getting this status as the initial investment required is significantly lower. A novel methodology is presented for this type of buildings aiming at identifying the optimal combination of actions to be taken for reducing the energy demand and developing optimized renewable energy mixes, integrating the existing ones, up to the (Ny)ZEB status. Following this methodology, a cases study is presented - the Solar House (low energy building with geothermal system and solar energy convertors) and the steps followed for reaching the Zero Energy Building standards are presented. Considering the current energy status of the building, the renewable energy potential and the costs, a tracked PV string array is proposed to be added and the steps in design optimization are outlined. (C) 2013 Elsevier B.V. All rights reserved.",WOS:000329885300009,2018,Building energy standards,
2,"Estimations of biogas emissions in final disposal sites have been studied by several researchers, primarily for their potential as a renewable source of energy and greenhouse gas emissions mitigation. Different models have been developed to predict the generation of biogas; the first-order model is widely used. Most of these models are based on two parameters, the methane generation rate (k) and methane generation potential (L-0). These parameters cannot be generalized for biogas estimation in any site, and must be modified according to in situ characteristics. The objectives of this research are (a) modify the constants of k and L-0 with in situ data, and (b) estimate the biogas generation in a sanitary landfill of a Mexican city using the modified constants. The following data were used in modifying the model constants biogas: (a) waste characterization studies, (b) biogas extraction tests, (c) observations of characteristics and sanitary landfill operation, (d) interviews with the managers of the sanitary landfill, and (e) several parameters of the Intergovernmental Panel on Climate Change (IPCC) model. Biogas estimation using the modified constants was performed in the version 2.0 Mexico Landfill Gas Model proposed by Stearns, Conrad and Schmidt Consulting Engineers, Inc. (SCS Engineers). The results show that approximately 70% of the waste generated is organic, which influences the value of the parameters used in calculating the k and L-0. With in situ characteristics, values of k = 0.0482 yr(-1) and L-0 = 94,457 m(3)/t were obtained. It is projected that the electric power generation could reach a maximum capacity of 2.4 MW in 2019. This energy could increase the installed capacity in the Ensenada by approximately 4.36% and supply approximately 66% of the electric energy required for lighting, which amounts to savings of US$2.62 million and an environmental benefit of approximately 1.17 Mt CO(2)e from 2009 to 2025. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331421800032,2019,Network optimisation,
3,"In Europe, energy and climate policies started to take shape from the 1990s onwards culminating with the ambitious 20-20-20 climate goals and the Low-Carbon Europe roadmap 2050. The European Commission empower the importance of achieving the objective of the recast Directive on energy performance of buildings (EPBD) that new buildings built from 2021 onwards will have to be nearly zero-energy buildings. The general belief is that the energy performance optimization of buildings requires an integrated design approach and cross-disciplinary teamwork to optimize the building's energy use and quality of indoor environment while satisfying the occupants' needs. In this context, there is a substantial need for professionals such as architects and engineers specifically trained and educated in integrated design approach and trained to work in cross-disciplinary teams. To be able to push forward the development, it is essential that educational institutions foster professionals with such knowledge, skills and competences. An initiative toward this direction is the EU-project of IDES-EDU: ""Master and Post-Graduate education and training in multi-disciplinary teams"". The paper describes the necessity of more integrated and cross-disciplinary approaches to building design through state-of-the-art of the building sector and educational initiatives in the participating countries in the project, and through theory of design processes. The paper also communicates the results of newly developed cross-disciplinary education established by fifteen different educational institutions in Europe. Finally, the paper explains and discusses the challenges encountered during development and implementation of the education across different professions and countries. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000331019600001,2050,Building energy standards,
4,"Owners and municipalities face the choice to renovate or rebuild buildings in order to improve energy efficiency and sustainability. The process of upgrading the existing building stock can be supported by land management tools, i.e., municipal energy plans (MEP) or sustainable building codes (BC), that municipalities use to plan, check and monitor actions taken. Many local and regional authorities are involved in the Covenant of Mayors supported by the European Union (EU): the sustainable energy action plan (SEAP) is the key document in which the Covenant signatory outlines how it intends to reach CO2 reduction target by 2020. Sustainability at the urban scale is also supported by voluntary certification schemes such as Leadership in Energy and Environmental Design (LEED)(R) for neighbourhood development proposed by the United States Green Building Council (USGBC), Building Research Establishment Environmental Assessment Method (BREEAM) Communities proposed by UK Building Research Establishment (BRE) and Comprehensive Assessment System for Built Environment Efficiency (CASBEE) for Urban Development proposed by the Japan GreenBuild Council. The fact that there are so many tools to manage urban sustainability is positive, but what happens when multiple tools are applied to the same territory? Overlap, redundancy, and conflicts in management may be critical elements. The purpose of this article is to analyze these critical issues, highlighting the elements of integration and possible synergies for effective management of sustainability at the local level.",WOS:000330289200022,2020,Planning & governance,
5,"Europe has a significant target ahead to fulfill: to achieve the goal of nearly zero energy buildings from the year 2021. This paper presents viable scenarios to achieve the achievement of nearly zero energy dwellings in the southern European country of Cyprus. The analysis is based on the documentation of the developments in the building sector after the adoption of mandatory building insulation regulations. For this purpose, data concerning the building stock of Cyprus before the adoption of the regulation of thermal insulation, as well as the construction characteristics for sixty dwellings which were built from 2010 to 2012 are compared. The ability of adoption of renewable energy in the building sector is also analyzed. Several scenarios are examined and a matrix defining the possible ranges of primary consumption of dwellings in Cyprus considered as nearly zero energy are presented. Possible scenarios examined in relation to consumption of dwellings in Cyprus by 2020 showed that this would range from 65 to 40 kWh/m(2) year, depending on the degree of renewable energy technologies penetration. The outcomes of this work are particularly revealing with regard to the definition of feasible consumption targets for nearly zero energy dwellings in southern Europe by 2020. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000334262000061,2021,Building energy standards,
6,"Europe has a significant target ahead to fulfill: to achieve the goal of nearly zero energy buildings from the year 2021. This paper presents viable scenarios to achieve the achievement of nearly zero energy dwellings in the southern European country of Cyprus. The analysis is based on the documentation of the developments in the building sector after the adoption of mandatory building insulation regulations. For this purpose, data concerning the building stock of Cyprus before the adoption of the regulation of thermal insulation, as well as the construction characteristics for sixty dwellings which were built from 2010 to 2012 are compared. The ability of adoption of renewable energy in the building sector is also analyzed. Several scenarios are examined and a matrix defining the possible ranges of primary consumption of dwellings in Cyprus considered as nearly zero energy are presented. Possible scenarios examined in relation to consumption of dwellings in Cyprus by 2020 showed that this would range from 65 to 40 kWh/m(2) year, depending on the degree of renewable energy technologies penetration. The outcomes of this work are particularly revealing with regard to the definition of feasible consumption targets for nearly zero energy dwellings in southern Europe by 2020. (C) 2014 Elsevier Ltd. All rights reserved.",WOS:000334262000061,2020,Building energy standards,
7,"This paper presents passenger road transport scenarios that may assist the MCMA (Mexico City Metropolitan Area) in achieving lower emissions in both criteria air pollutants (CO, NOx, NMVOC (non-methane volatile organic compounds), and PM10) and GHG (greenhouse gas) (CH4, N2O and CO2), while also promoting better mobility and quality of life in this region. We developed a bottom-up model to estimate the historical trends of energy demand, criteria air pollutants and GHG emissions caused by passenger vehicles circulating in the Mexico City Metropolitan Area (MCMA) in order to construct a baseline scenario and two mitigation scenarios that project their impact to 2028. Mitigation scenario ""eff"" considers increasing fuel efficiencies and introducing new technologies for vehicle emission controls. Mitigation scenario ""BRT"" considers a modal shift from private car trips to a Bus Rapid Transport system. Our results show significant reductions in air pollutants and GHG emissions. Incentives and environmental regulations are needed to enable these scenarios. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000334262000064,2028,GHG emissions,
8,"As government and industry plan to reduce energy consumption in building stock, there is a need to forecast the uptake of retrofit packages across building stock over time. To address this challenge a diffusion model was set up and applied to office building stock across New South Wales (NSW) in Australia, accommodating a high spatial resolution and temporal capability for projecting uptake of technology packages characterised by multiple variables. Six retrofit packages were set up for the diffusion model, which ranged from inexpensive services and manuals through to mid-priced packages involving energy efficient T5 lighting and solar hot water through to expensive packages such as chilled beams and Solar PV. We evaluated the model using a base case and two policy programs, representing the Green Building Fund and Environmental Upgrade Agreements. These were recent incentive programs funded by the Australian government to accelerate the uptake of retrofit packages, by providing financial support to upfront expenditures and removing barriers to retrofit. By forecasting uptake of each retrofit package to 2032 under each program, we demonstrate how the model can be a valuable resource in tailoring expensive government programs and increasing their effectiveness. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000330813800049,2032,Building energy standards,
9,"The modelling of land use change is a way to analyse future scenarios by modelling different pathways. Application of spatial data of different scales coupled with socio-economic data makes it possible to explore and test the understanding of land use change relations. In the EU-FP7 research project PASH-MINA (Paradigm Shift modelling and innovative approaches), three storylines of future transportation paradigm shifts towards 2040 are created. These storylines are translated into spatial planning strategies and modelled using the cellular automata model LUCIA. For the modelling, an Eastern Danish case area was selected, comprising of the Copenhagen metropolitan area and its hinterland. The different scenarios are described using a range of different descriptive GIS datasets. These include mapping of accessibility based on public and private transportation, urban density and structure, and distribution of jobs and population. These indicators are then incorporated in the model calculations as factors determining urban development, related to the scenario outlines. The results calculated from the scenarios reveals the great difference in urban distribution that different spatial planning strategies can produce, changing the shape of the urban landscape. The scenarios visualized showed to outline different planning strategies that could be implemented, creating a more homogenous urban structure targeted at a reduction of transportation work and thus energy consumption. This will lead to less impact on climate from transportation based on a more optimal localization and transport infrastructure strategy. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000327754700001,2040,Network optimisation,
10,"Portland cement production accounts for similar to 5-7% of total global anthropogenic carbon dioxide emissions. Therefore, the cement industry is an important target for emissions-reduction strategies. However, according to industry projections, global cement demand will increase 43-72% by 2050, with growth concentrated in such economically-developing regions as India, Africa, Southeast Asia and Latin America. To the cement industry, the challenge is to simultaneously increase cement production while reducing carbon dioxide emissions. To date, industry efforts have included adoption of eco-efficient technologies, alternative and renewable fuel use, blended cements, and carbon sequestration. Yet little attention is given to the dynamics of cement consumption, especially in projected growth regions. In this paper, I use a case study of Mexico to (1) illustrate how cement is predominantly consumed, and (2) examine the role of the cement industry in promoting cement consumption. Recent scholarship on sustainability transitions provides a conceptual framework for understanding how carbon-intensive socio-technical regimes can transition to lower-carbon alternatives. Discursive regulation provides an analytical lens to understand how power dynamics underlying such regimes often forestall sustainable transitions and keep industries locked in to unsustainable practices. The Mexico case study shows that over 50% of cement is used in housing construction. As well, industry narratives linking cement to modernity, sustainability, and environmentalism serve to normalize cement and make it seem a necessity. The paper highlights how the cement industry uses power to discursively regulate cement consumption, which both fosters socio-technical regime path dependency and prevents the sustainable transition of the industry. (C) 2013 Elsevier Ltd. All rights reserved.",WOS:000326009600013,2050,Planning & governance,
