Topic ID,Topic Name,Stemmed Keywords,Marginal Topic Distribution;;;;
106962,,develop; sustain; govern; polici; project,9.702033669922775
106969,,activ; health; household; school; walk,6.452594031082999
106975,,model; network; optim; propos; problem,6.249574667808752
106968,,energi; effici; consumpt; save; household,5.9621129735318545
106963,,build; energi; perform; green; design,5.012149619142674
106976,,urban; citi; land; area; green,4.539631481067423
106966,,emiss; carbon; ghg; reduct; gas,4.4161717507422225
106964,,wast; manag; solid; landfil; municip,4.355467206804662
106972,,transport; public; car; access; polici,4.303651549853443
106965,,price; congest; road; traffic; cost,3.833077086295959
106982,,system; oper; cost; control; perform,3.7038289299972513
106981,,travel; mode; choic; car; time,3.42553784801696
106987,,thermal; comfort; temperatur; indoor; occup,3.2058992813141036
106974,,vehicl; electr; fuel; batteri; power,3.1922998255902573
106983,,treatment; wastewat; plant; remov; compost,3.01126931570302
106971,,transit; rail; station; ridership; access,2.994251752837344
106978,,air; pollut; ventil; qualiti; indoor,2.9045076556514204
106970,,climat; chang; mitig; polici; local,2.820999311662192
106984,,heat; hous; pump; cool; district,2.7862873602596943
106980,,servic; ecosystem; oper; public; provid,2.72114373007681
106967,,park; space; car; price; polici,2.435878517559208
106986,,bus; brt; buse; rout; stop,2.293625295025282
106973,,recycl; household; collect; materi; program,2.268382384405268
106985,,toll; lane; road; traffic; congest,1.9227530600483524
106977,,charg; station; congest; ev; scheme,1.8793238267388237
106988,,water; suppli; hot; solar; heater,1.825555515698013
106979,,bicycl; cycl; cyclist; pedestrian; lane,1.7819923531628792
